time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-24 00:00:00+00:00,12,8,0,0
2026-03-25 00:00:00+00:00,10,5,1,1
2026-03-26 00:00:00+00:00,16,7,1,1
2026-03-27 00:00:00+00:00,15,10,0,0
2026-03-28 00:00:00+00:00,19,10,0,0
2026-03-29 00:00:00+00:00,14,5,0,0
2026-03-30 00:00:00+00:00,3,3,0,0
2026-03-31 00:00:00+00:00,10,9,0,0
2026-04-01 00:00:00+00:00,11,6,1,1
2026-04-02 00:00:00+00:00,10,5,2,2
2026-04-03 00:00:00+00:00,5,4,0,0
2026-04-04 00:00:00+00:00,13,5,2,2
2026-04-05 00:00:00+00:00,5,4,0,0
2026-04-06 00:00:00+00:00,2,2,0,0
