time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-30 00:00:00+00:00,35,9,2,2
2026-05-01 00:00:00+00:00,21,5,3,3
2026-05-02 00:00:00+00:00,32,12,5,5
2026-05-03 00:00:00+00:00,34,12,8,8
2026-05-04 00:00:00+00:00,22,5,0,0
2026-05-05 00:00:00+00:00,56,16,0,0
2026-05-06 00:00:00+00:00,66,6,8,2
2026-05-07 00:00:00+00:00,3,3,1,1
2026-05-08 00:00:00+00:00,18,9,1,1
2026-05-09 00:00:00+00:00,30,12,1,1
2026-05-10 00:00:00+00:00,5,5,1,1
2026-05-11 00:00:00+00:00,13,4,1,1
2026-05-12 00:00:00+00:00,10,5,0,0
2026-05-13 00:00:00+00:00,39,15,0,0
