time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-11 00:00:00+00:00,21,10,0,0
2026-06-12 00:00:00+00:00,13,6,0,0
2026-06-13 00:00:00+00:00,20,7,0,0
2026-06-14 00:00:00+00:00,34,10,0,0
2026-06-15 00:00:00+00:00,22,6,0,0
2026-06-16 00:00:00+00:00,24,8,0,0
2026-06-17 00:00:00+00:00,32,11,0,0
2026-06-18 00:00:00+00:00,25,10,9,1
2026-06-19 00:00:00+00:00,31,7,1,1
2026-06-20 00:00:00+00:00,21,7,0,0
2026-06-21 00:00:00+00:00,49,12,1,1
2026-06-22 00:00:00+00:00,35,10,0,0
2026-06-23 00:00:00+00:00,46,11,0,0
2026-06-24 00:00:00+00:00,37,8,1,1
