time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-05 00:00:00+00:00,5,5,1,1
2026-09-06 00:00:00+00:00,2,2,0,0
2026-09-07 00:00:00+00:00,35,18,0,0
2026-09-08 00:00:00+00:00,20,20,1,1
2026-09-09 00:00:00+00:00,16,15,0,0
2026-09-10 00:00:00+00:00,5,4,0,0
2026-09-11 00:00:00+00:00,1,1,1,1
2026-09-12 00:00:00+00:00,9,6,22,3
2026-09-13 00:00:00+00:00,5,5,0,0
2026-09-14 00:00:00+00:00,33,18,0,0
2026-09-15 00:00:00+00:00,2,2,0,0
2026-09-16 00:00:00+00:00,19,8,0,0
2026-09-17 00:00:00+00:00,18,11,1,1
2026-09-18 00:00:00+00:00,13,11,0,0
