time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-05 00:00:00+00:00,27,8,4,2
2026-06-06 00:00:00+00:00,16,6,0,0
2026-06-07 00:00:00+00:00,19,9,0,0
2026-06-08 00:00:00+00:00,17,7,0,0
2026-06-09 00:00:00+00:00,24,10,0,0
2026-06-10 00:00:00+00:00,17,9,0,0
2026-06-11 00:00:00+00:00,21,10,0,0
2026-06-12 00:00:00+00:00,13,6,0,0
2026-06-13 00:00:00+00:00,20,7,0,0
2026-06-14 00:00:00+00:00,34,10,0,0
2026-06-15 00:00:00+00:00,22,6,0,0
2026-06-16 00:00:00+00:00,24,8,0,0
2026-06-17 00:00:00+00:00,32,11,0,0
2026-06-18 00:00:00+00:00,25,10,9,1
