time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-27 00:00:00+00:00,13,8,2,2
2026-02-28 00:00:00+00:00,12,7,1,1
2026-03-01 00:00:00+00:00,12,7,0,0
2026-03-02 00:00:00+00:00,16,7,0,0
2026-03-03 00:00:00+00:00,3,3,1,1
2026-03-04 00:00:00+00:00,14,8,0,0
2026-03-05 00:00:00+00:00,17,8,1,1
2026-03-06 00:00:00+00:00,9,4,0,0
2026-03-07 00:00:00+00:00,6,5,1,1
2026-03-08 00:00:00+00:00,9,4,24,2
2026-03-09 00:00:00+00:00,4,3,1,1
2026-03-10 00:00:00+00:00,6,2,1,1
2026-03-11 00:00:00+00:00,18,8,9,1
2026-03-12 00:00:00+00:00,4,3,0,0
